NC_009925,Acaryochloris marina
NC_015554,Alteromonas sp. SN2
NC_014011,Aminobacterium colombiense
NC_013385,Ammonifex degensii
NC_018704,Amphibacillus xylanus
NC_018266,Amycolatopsis mediterranei
NC_017186,Amycolatopsis mediterranei
NC_022116,Amycolatopsis mediterranei
NC_014318,Amycolatopsis mediterranei
NC_021252,Amycolatopsis orientalis
NC_015564,Amycolicicoccus subflavus
NC_019771,Anabaena cylindrica
NC_019427,Anabaena sp. 90
NC_019439,Anabaena sp. 90
NC_014000,Anabaena variabilis
NC_007413,Anabaena variabilis
NC_018024,Anaerobaculum mobile
NC_013171,Anaerococcus prevotii
NC_014960,Anaerolinea thermophila
NC_007760,Anaeromyxobacter dehalogenans
NC_011891,Anaeromyxobacter dehalogenans
NC_009675,Anaeromyxobacter sp. Fw109-5
NC_011145,Anaeromyxobacter sp. K
NC_013532,Anaplasma centrale
NC_012026,Anaplasma marginale
NC_004842,Anaplasma marginale
NC_007797,Anaplasma phagocytophilum
NC_021880,Anaplasma phagocytophilum
NC_021879,Anaplasma phagocytophilum
NC_011567,Anoxybacillus flavithermus
NC_000918,Aquifex aeolicus
NC_014218,Arcanobacterium haemolyticum
NC_017187,Arcobacter butzleri
NC_009850,Arcobacter butzleri
NC_021878,Arcobacter butzleri
NC_014166,Arcobacter nitrofigilis
NC_017192,Arcobacter sp. L
NC_006513,Aromatoleum aromaticum
NC_014550,Arthrobacter arilaitensis
NC_008711,Arthrobacter aurescens
NC_011886,Arthrobacter chlorophenolicus
NC_015145,Arthrobacter phenanthrenivorans
NC_008541,Arthrobacter sp. FB24
NC_018531,Arthrobacter sp. Rue61a
NC_016640,Arthrospira platensis
NC_007716,Aster yellows witches'-broom phytoplasma
NC_014816,Asticcacaulis excentricus
NC_014817,Asticcacaulis excentricus
NC_013203,Atopobium parvulum
NC_008702,Azoarcus sp. BH72
NC_020516,Azoarcus sp. KH32C
NC_009937,Azorhizobium caulinodans
NC_016616,Azospira oryzae
NC_016617,Azospirillum brasilense
NC_013854,Azospirillum lipoferum
NC_016622,Azospirillum lipoferum
NC_012560,Azotobacter vinelandii
NC_021149,Azotobacter vinelandii
NC_021150,Azotobacter vinelandii
NC_009725,Bacillus amyloliquefaciens
NC_017188,Bacillus amyloliquefaciens
NC_017190,Bacillus amyloliquefaciens
NC_017191,Bacillus amyloliquefaciens
NC_017061,Bacillus amyloliquefaciens
NC_019842,Bacillus amyloliquefaciens
NC_020272,Bacillus amyloliquefaciens
NC_020410,Bacillus amyloliquefaciens
NC_016784,Bacillus amyloliquefaciens
NC_017912,Bacillus amyloliquefaciens
NC_014551,Bacillus amyloliquefaciens
NC_022081,Bacillus amyloliquefaciens
NC_022530,Bacillus amyloliquefaciens
NC_022653,Bacillus amyloliquefaciens
NC_022075,Bacillus amyloliquefaciens
NC_023073,Bacillus amyloliquefaciens
NC_012581,Bacillus anthracis
NC_012659,Bacillus anthracis
NC_017729,Bacillus anthracis
NC_003997,Bacillus anthracis
NC_005945,Bacillus anthracis
NC_007530,Bacillus anthracis
NC_014639,Bacillus atrophaeus
NC_014829,Bacillus cellulosilyticus
NC_011658,Bacillus cereus
NC_011725,Bacillus cereus
NC_011772,Bacillus cereus
NC_011773,Bacillus cereus
NC_011969,Bacillus cereus
NC_012472,Bacillus cereus
NC_014335,Bacillus cereus
NC_018491,Bacillus cereus
NC_016771,Bacillus cereus
NC_016779,Bacillus cereus
NC_004722,Bacillus cereus
NC_003909,Bacillus cereus
NC_006274,Bacillus cereus
NC_006582,Bacillus clausii
NC_016023,Bacillus coagulans
NC_015634,Bacillus coagulans
NC_009674,Bacillus cytotoxicus
NC_002570,Bacillus halodurans
NC_022524,Bacillus infantis
NC_006270,Bacillus licheniformis
NC_021362,Bacillus licheniformis
NC_006322,Bacillus licheniformis
NC_014019,Bacillus megaterium
NC_014103,Bacillus megaterium
NC_017138,Bacillus megaterium
NC_013791,Bacillus pseudofirmus
NC_009848,Bacillus pumilus
NC_021171,Bacillus sp. 1NLA3E
NC_017743,Bacillus sp. JS
NC_017195,Bacillus subtilis
NC_017196,Bacillus subtilis
NC_019896,Bacillus subtilis
NC_020244,Bacillus subtilis
NC_020832,Bacillus subtilis
NC_014479,Bacillus subtilis
NC_014976,Bacillus subtilis
NC_016047,Bacillus subtilis
NC_020507,Bacillus subtilis
NC_018520,Bacillus subtilis
NC_022898,Bacillus subtilis
NC_000964,Bacillus subtilis
NC_008600,Bacillus thuringiensis
NC_014171,Bacillus thuringiensis
NC_017200,Bacillus thuringiensis
NC_017208,Bacillus thuringiensis
NC_018693,Bacillus thuringiensis
NC_018877,Bacillus thuringiensis
NC_018508,Bacillus thuringiensis
NC_020238,Bacillus thuringiensis
NC_020376,Bacillus thuringiensis
NC_018500,Bacillus thuringiensis
NC_022873,Bacillus thuringiensis
NC_005957,Bacillus thuringiensis
NC_022781,Bacillus toyonensis
NC_010184,Bacillus weihenstephanensis
NC_016620,Bacteriovorax marinus
NC_016776,Bacteroides fragilis
NC_006347,Bacteroides fragilis
NC_003228,Bacteroides fragilis
NC_014933,Bacteroides helcogenes
NC_015164,Bacteroides salanitronis
NC_004663,Bacteroides thetaiotaomicron
NC_009614,Bacteroides vulgatus
NC_020300,Bartonella australis
NC_008783,Bartonella bacilliformis
NC_014932,Bartonella clarridgeiae
NC_012846,Bartonella grahamii
NC_005956,Bartonella henselae
NC_018533,Bartonella quintana
NC_005955,Bartonella quintana
NC_010161,Bartonella tribocorum
NC_020301,Bartonella vinsonii
NC_019567,Bdellovibrio bacteriovorus
NC_005363,Bdellovibrio bacteriovorus
NC_020813,Bdellovibrio exovorus
NC_010581,Beijerinckia indica
NC_018010,Belliella baltica
NC_012669,Beutenbergia cavernae
NC_020515,Bibersteinia trehalosi
NC_008618,Bifidobacterium adolescentis
NC_012814,Bifidobacterium animalis
NC_017214,Bifidobacterium animalis
NC_017215,Bifidobacterium animalis
NC_017217,Bifidobacterium animalis
NC_017866,Bifidobacterium animalis
NC_017867,Bifidobacterium animalis
NC_017216,Bifidobacterium animalis
NC_017834,Bifidobacterium animalis
NC_011835,Bifidobacterium animalis
NC_021593,Bifidobacterium animalis
NC_012815,Bifidobacterium animalis
NC_022523,Bifidobacterium animalis
NC_018720,Bifidobacterium asteroides
NC_017999,Bifidobacterium bifidum
NC_014616,Bifidobacterium bifidum
NC_014638,Bifidobacterium bifidum
NC_020517,Bifidobacterium breve
NC_017218,Bifidobacterium breve
NC_013714,Bifidobacterium dentium
NC_011593,Bifidobacterium longum
NC_014169,Bifidobacterium longum
NC_017219,Bifidobacterium longum
NC_017221,Bifidobacterium longum
NC_015052,Bifidobacterium longum
NC_015067,Bifidobacterium longum
NC_010816,Bifidobacterium longum
NC_014656,Bifidobacterium longum
NC_004307,Bifidobacterium longum
NC_020546,Bifidobacterium thermophilum
NC_016943,Blastococcus saxobsidens
NC_016621,Blattabacterium punctulatus
NC_017924,Blattabacterium sp. (Blaberus giganteus)
NC_020195,Blattabacterium sp. (Blatta orientalis)
NC_013454,Blattabacterium sp. (Blattella germanica)
NC_016146,Blattabacterium sp. (Mastotermes darwiniensis)
NC_022550,Blattabacterium sp. (Nauphoeta cinerea)
NC_020510,Blattabacterium sp. (Panesthia angustipennis spadica)
NZ_AP012548,Blattabacterium sp. (Panesthia angustipennis spadica)
NC_013418,Blattabacterium sp. (Periplaneta americana)
NC_010645,Bordetella avium
NC_019382,Bordetella bronchiseptica
NC_018829,Bordetella bronchiseptica
NC_002927,Bordetella bronchiseptica
NC_018828,Bordetella parapertussis
NC_002928,Bordetella parapertussis
NC_017223,Bordetella pertussis
NC_018518,Bordetella pertussis
NC_002929,Bordetella pertussis
NC_010170,Bordetella petrii
NC_017238,Borrelia afzelii
NC_018887,Borrelia afzelii
NC_008277,Borrelia afzelii
NC_006156,Borrelia bavariensis
NC_015921,Borrelia bissettii
NC_011728,Borrelia burgdorferi
NC_017403,Borrelia burgdorferi
NC_017418,Borrelia burgdorferi
NC_022048,Borrelia burgdorferi
NC_001318,Borrelia burgdorferi
NC_017808,Borrelia crocidurae
NC_011229,Borrelia duttonii
NC_018747,Borrelia garinii
NC_017717,Borrelia garinii
NC_010673,Borrelia hermsii
NC_022079,Borrelia miyamotoi
NC_011244,Borrelia recurrentis
NC_008710,Borrelia turicatae
NC_013172,Brachybacterium faecium
NC_012225,Brachyspira hyodysenteriae
NC_017243,Brachyspira intermedia
NC_014150,Brachyspira murdochii
NC_014330,Brachyspira pilosicoli
NC_018607,Brachyspira pilosicoli
NC_019908,Brachyspira pilosicoli
NC_018604,Brachyspira pilosicoli
NC_004463,Bradyrhizobium diazoefficiens
NC_017249,Bradyrhizobium japonicum
NC_020453,Bradyrhizobium oligotrophicum
NC_009485,Bradyrhizobium sp. BTAi1
NC_009445,Bradyrhizobium sp. ORS 278
NC_017082,Bradyrhizobium sp. S23321
NC_012491,Brevibacillus brevis
NC_014375,Brevundimonas subvibrioides
NC_016777,Brucella abortus
NC_016795,Brucella abortus
NC_006933,Brucella abortus
NC_006932,Brucella abortus
NC_010740,Brucella abortus
NC_010742,Brucella abortus
NC_007618,Brucella abortus
NC_007624,Brucella abortus
NC_016778,Brucella canis
NC_016796,Brucella canis
NC_010104,Brucella canis
NC_010103,Brucella canis
NC_022905,Brucella ceti
NC_022906,Brucella ceti
NC_022907,Brucella ceti
NC_022908,Brucella ceti
NC_012442,Brucella melitensis
NC_012441,Brucella melitensis
NC_017247,Brucella melitensis
NC_017244,Brucella melitensis
NC_017245,Brucella melitensis
NC_017248,Brucella melitensis
NC_017283,Brucella melitensis
NC_003317,Brucella melitensis
NC_003318,Brucella melitensis
NC_017246,Brucella melitensis
NC_013118,Brucella microti
NC_013119,Brucella microti
NC_009505,Brucella ovis
NC_009504,Brucella ovis
NC_015857,Brucella pinnipedialis
NC_015858,Brucella pinnipedialis
NC_010167,Brucella suis
NC_016775,Brucella suis
NC_016797,Brucella suis
NC_017250,Brucella suis
NC_017251,Brucella suis
NC_004310,Brucella suis
NC_004311,Brucella suis
NC_010169,Brucella suis
NC_008513,Buchnera aphidicola
NC_011833,Buchnera aphidicola
NC_011834,Buchnera aphidicola
NC_017252,Buchnera aphidicola
NC_017253,Buchnera aphidicola
NC_017254,Buchnera aphidicola
NC_017255,Buchnera aphidicola
NC_017256,Buchnera aphidicola
NC_017259,Buchnera aphidicola
NC_015662,Buchnera aphidicola
NC_002528,Buchnera aphidicola
NC_004061,Buchnera aphidicola
NC_004545,Buchnera aphidicola
NC_010551,Burkholderia ambifaria
NC_010552,Burkholderia ambifaria
NC_010557,Burkholderia ambifaria
NC_008392,Burkholderia ambifaria
NC_008390,Burkholderia ambifaria
NC_008391,Burkholderia ambifaria
NC_008060,Burkholderia cenocepacia
NC_008061,Burkholderia cenocepacia
NC_008062,Burkholderia cenocepacia
NC_008544,Burkholderia cenocepacia
NC_008542,Burkholderia cenocepacia
NC_008543,Burkholderia cenocepacia
NC_010508,Burkholderia cenocepacia
NC_010512,Burkholderia cenocepacia
NC_010515,Burkholderia cenocepacia
NC_011002,Burkholderia cenocepacia
NC_011000,Burkholderia cenocepacia
NC_011001,Burkholderia cenocepacia
NC_018513,Burkholderia cepacia
NC_018514,Burkholderia cepacia
NC_015376,Burkholderia gladioli
NC_015381,Burkholderia gladioli
NC_012721,Burkholderia glumae
NC_012724,Burkholderia glumae
NC_007509,Burkholderia lata
NC_007511,Burkholderia lata
NC_007510,Burkholderia lata
NC_008784,Burkholderia mallei
NC_008785,Burkholderia mallei
NC_008836,Burkholderia mallei
NC_009079,Burkholderia mallei
NC_009080,Burkholderia mallei
NC_006348,Burkholderia mallei
NC_008835,Burkholderia mallei
NC_006349,Burkholderia mallei
NC_010801,Burkholderia multivorans
NC_010804,Burkholderia multivorans
NC_010805,Burkholderia multivorans
NC_010086,Burkholderia multivorans
NC_010087,Burkholderia multivorans
NC_010084,Burkholderia multivorans
NC_018672,Burkholderia phenoliruptrix
NC_018695,Burkholderia phenoliruptrix
NC_010623,Burkholderia phymatum
NC_010622,Burkholderia phymatum
NC_010676,Burkholderia phytofirmans
NC_010681,Burkholderia phytofirmans
NC_009074,Burkholderia pseudomallei
NC_009075,Burkholderia pseudomallei
NC_009076,Burkholderia pseudomallei
NC_009078,Burkholderia pseudomallei
NC_012695,Burkholderia pseudomallei
NC_017831,Burkholderia pseudomallei
NC_017832,Burkholderia pseudomallei
NC_018527,Burkholderia pseudomallei
NC_018529,Burkholderia pseudomallei
NC_022658,Burkholderia pseudomallei
NC_022659,Burkholderia pseudomallei
NC_021877,Burkholderia pseudomallei
NC_021884,Burkholderia pseudomallei
NC_006351,Burkholderia pseudomallei
NC_006350,Burkholderia pseudomallei
NC_007434,Burkholderia pseudomallei
NC_007435,Burkholderia pseudomallei
NC_014722,Burkholderia rhizoxinica
NC_015136,Burkholderia sp. CCGE1001
NC_015137,Burkholderia sp. CCGE1001
NC_014117,Burkholderia sp. CCGE1002
NC_014119,Burkholderia sp. CCGE1002
NC_014118,Burkholderia sp. CCGE1002
NC_014539,Burkholderia sp. CCGE1003
NC_014540,Burkholderia sp. CCGE1003
NC_017920,Burkholderia sp. KJ006
NC_017921,Burkholderia sp. KJ006
NC_017922,Burkholderia sp. KJ006
NC_021287,Burkholderia sp. RPE64
NC_021288,Burkholderia sp. RPE64
NC_021294,Burkholderia sp. RPE64
NC_016590,Burkholderia sp. YI23
NC_016625,Burkholderia sp. YI23
NC_016589,Burkholderia sp. YI23
NC_021173,Burkholderia thailandensis
NC_021174,Burkholderia thailandensis
NC_007650,Burkholderia thailandensis
NC_007651,Burkholderia thailandensis
NC_009254,Burkholderia vietnamiensis
NC_009255,Burkholderia vietnamiensis
NC_009256,Burkholderia vietnamiensis
NC_007952,Burkholderia xenovorans
NC_007953,Burkholderia xenovorans
NC_007951,Burkholderia xenovorans
NC_014388,Butyrivibrio proteoclasticus
NC_014387,Butyrivibrio proteoclasticus
NC_003869,Caldanaerobacter subterraneus
NC_012034,Caldicellulosiruptor bescii
NC_014652,Caldicellulosiruptor hydrothermalis
NC_014721,Caldicellulosiruptor kristjanssonii
NC_014720,Caldicellulosiruptor kronotskyensis
NC_015949,Caldicellulosiruptor lactoaceticus
NC_014392,Caldicellulosiruptor obsidiansis
NC_014657,Caldicellulosiruptor owensensis
NC_009437,Caldicellulosiruptor saccharolyticus
NC_017079,Caldilinea aerophila
NC_017096,Caldisericum exile
NC_014758,Calditerrivibrio nitroreducens
NC_019751,Calothrix parietina
NC_019682,Calothrix sp. PCC 7507
NC_009465,Calyptogena okutanii thioautotrophic gill symbiont
NC_022132,Campylobacter coli
NC_022347,Campylobacter coli
NC_022660,Campylobacter coli
NC_009802,Campylobacter concisus
NC_009715,Campylobacter curvus
NC_008599,Campylobacter fetus
NC_022759,Campylobacter fetus
NC_009714,Campylobacter hominis
NC_008787,Campylobacter jejuni
NC_009707,Campylobacter jejuni
NC_009839,Campylobacter jejuni
NC_017280,Campylobacter jejuni
NC_017281,Campylobacter jejuni
NC_017279,Campylobacter jejuni
NC_014802,Campylobacter jejuni
NC_018709,Campylobacter jejuni
NC_018521,Campylobacter jejuni
NC_021834,Campylobacter jejuni
NC_022362,Campylobacter jejuni
NC_002163,Campylobacter jejuni
NC_003912,Campylobacter jejuni
NC_012039,Campylobacter lari
NC_013194,Candidatus Accumulibacter phosphatis
NC_010830,Candidatus Amoebophilus asiaticus
NC_015913,Candidatus Arthromitus sp. SFB-mouse
NC_017294,Candidatus Arthromitus sp. SFB-mouse
NC_016012,Candidatus Arthromitus sp. SFB-rat-Yit
NC_013771,Candidatus Atelocyanobacterium thalassa
NC_011565,Candidatus Azobacteroides pseudotrichonymphae
NC_023003,Candidatus Babela massiliensis
NC_007984,Candidatus Baumannia cicadellinicola
NC_020075,Candidatus Blochmannia chromaiodes
NC_005061,Candidatus Blochmannia floridanus
NC_007292,Candidatus Blochmannia pennsylvanicus
NC_014909,Candidatus Blochmannia vafer
NC_018416,Candidatus Carsonella ruddii
NC_021894,Candidatus Carsonella ruddii
NC_008512,Candidatus Carsonella ruddii
NC_018414,Candidatus Carsonella ruddii
NC_018415,Candidatus Carsonella ruddii
NC_018417,Candidatus Carsonella ruddii
NC_018418,Candidatus Carsonella ruddii
NC_016025,Candidatus Chloracidobacterium thermophilum
NC_016024,Candidatus Chloracidobacterium thermophilum
NC_010424,Candidatus Desulforudis audaxviator
NC_019566,Candidatus Endolissoclinum faulkneri
NC_012751,Candidatus Hamiltonella defensa
NC_012960,Candidatus Hodgkinia cicadicola
NC_019815,Candidatus Kinetoplastibacterium crithidii
NC_020283,Candidatus Kinetoplastibacterium crithidii
NC_020294,Candidatus Kinetoplastibacterium desouzaii
NC_020284,Candidatus Kinetoplastibacterium galatii
NC_020299,Candidatus Kinetoplastibacterium oncopeltii
NC_008009,Candidatus Koribacter versatilis
NC_022793,Candidatus Liberibacter americanus
NC_012985,Candidatus Liberibacter asiaticus
NC_020549,Candidatus Liberibacter asiaticus
NC_014774,Candidatus Liberibacter solanacearum
NC_013260,Candidatus Methylomirabilis oxyfera
NC_015722,Candidatus Midichloria mitochondrii
NC_015735,Candidatus Moranella endobia
NC_021057,Candidatus Moranella endobia
NC_018219,Candidatus Mycoplasma haemolamae
NC_021919,Candidatus Nasuia deltocephalinicola
NC_014355,Candidatus Nitrospira defluvii
NC_015380,Candidatus Pelagibacter sp. IMCC9063
NC_007205,Candidatus Pelagibacter ubique
NC_010544,Candidatus Phytoplasma australiense
NC_021236,Candidatus Phytoplasma australiense
NC_011047,Candidatus Phytoplasma mali
NC_018507,Candidatus Portiera aleyrodidarum
NC_018618,Candidatus Portiera aleyrodidarum
NC_018676,Candidatus Portiera aleyrodidarum
NC_018677,Candidatus Portiera aleyrodidarum
NC_020831,Candidatus Portiera aleyrodidarum
NC_021885,Candidatus Profftella armatura
NC_005861,Candidatus Protochlamydia amoebophila
NC_014010,Candidatus Puniceispirillum marinum
NC_017028,Candidatus Rickettsia amblyommii
NC_014109,Candidatus Riesia pediculicola
NC_008610,Candidatus Ruthia magnifica
NC_023004,Candidatus Saccharibacteria bacterium RAAC3_TM7_1
NC_021219,Candidatus Saccharimonas aalborgensis
NC_008536,Candidatus Solibacter usitatus
NC_013123,Candidatus Sulcia muelleri
NC_014004,Candidatus Sulcia muelleri
NC_010118,Candidatus Sulcia muelleri
NC_014499,Candidatus Sulcia muelleri
NC_021916,Candidatus Sulcia muelleri
NC_022576,Candidatus Symbiobacter mobilis
NC_021555,Candidatus Tremblaya phenacola
NC_015736,Candidatus Tremblaya princeps
NC_017293,Candidatus Tremblaya princeps
NC_020135,Candidatus Uzinura diaspidicola
NC_014497,Candidatus Zinderia insecticola
NC_015846,Capnocytophaga canimorsus
NC_013162,Capnocytophaga ochracea
NC_007503,Carboxydothermus hydrogenoformans
NC_018605,Cardinium endosymbiont of Encarsia pergandiella
NC_019425,Carnobacterium maltaromaticum
NC_015391,Carnobacterium sp. 17-4
NC_022606,Carnobacterium sp. WN1359
NC_013131,Catenulispora acidiphila
NC_014100,Caulobacter segnis
NC_010338,Caulobacter sp. K31
NC_002696,Caulobacter vibrioides
NC_011916,Caulobacter vibrioides
NC_015514,Cellulomonas fimi
NC_014151,Cellulomonas flavigena
NC_014934,Cellulophaga algicola
NC_015167,Cellulophaga lytica
NC_015275,Cellulosilyticum lentocellum
NC_010995,Cellvibrio japonicus
NC_019697,Chamaesiphon minutus
NC_008254,Chelativorans sp. BNC1
NC_013132,Chitinophaga pinensis
NC_002620,Chlamydia muridarum
NC_015408,Chlamydia pecorum
NC_022439,Chlamydia pecorum
NC_022440,Chlamydia pecorum
NC_022441,Chlamydia pecorum
NC_017285,Chlamydia pneumoniae
NC_000922,Chlamydia pneumoniae
NC_002491,Chlamydia pneumoniae
NC_005043,Chlamydia pneumoniae
NC_002179,Chlamydia pneumoniae
NC_017292,Chlamydia psittaci
NC_014796,Chlamydia psittaci
NC_018625,Chlamydia psittaci
NC_018626,Chlamydia psittaci
NC_018627,Chlamydia psittaci
NC_018619,Chlamydia psittaci
NC_018620,Chlamydia psittaci
NC_018621,Chlamydia psittaci
NC_018622,Chlamydia psittaci
NC_018623,Chlamydia psittaci
NC_018624,Chlamydia psittaci
NC_019391,Chlamydia psittaci
NC_020248,Chlamydia psittaci
NC_017287,Chlamydia psittaci
NC_015470,Chlamydia psittaci
NC_017291,Chlamydia psittaci
NC_017289,Chlamydia psittaci
NC_017290,Chlamydia psittaci
NC_012686,Chlamydia trachomatis
NC_012687,Chlamydia trachomatis
NC_015744,Chlamydia trachomatis
NC_010280,Chlamydia trachomatis
NC_016798,Chlamydia trachomatis
NC_017429,Chlamydia trachomatis
NC_017430,Chlamydia trachomatis
NC_017431,Chlamydia trachomatis
NC_017432,Chlamydia trachomatis
NC_017434,Chlamydia trachomatis
NC_017436,Chlamydia trachomatis
NC_017439,Chlamydia trachomatis
NC_017440,Chlamydia trachomatis
NC_017437,Chlamydia trachomatis
NC_017951,Chlamydia trachomatis
NC_017952,Chlamydia trachomatis
NC_017953,Chlamydia trachomatis
NC_020930,Chlamydia trachomatis
NC_020937,Chlamydia trachomatis
NC_020939,Chlamydia trachomatis
NC_020929,Chlamydia trachomatis
NC_020931,Chlamydia trachomatis
NC_020943,Chlamydia trachomatis
NC_020941,Chlamydia trachomatis
NC_020965,Chlamydia trachomatis
NC_020966,Chlamydia trachomatis
NC_020970,Chlamydia trachomatis
NC_020971,Chlamydia trachomatis
NC_020973,Chlamydia trachomatis
NC_020974,Chlamydia trachomatis
NC_020944,Chlamydia trachomatis
NC_020933,Chlamydia trachomatis
NC_020938,Chlamydia trachomatis
NC_020945,Chlamydia trachomatis
NC_020940,Chlamydia trachomatis
NC_021050,Chlamydia trachomatis
NC_021052,Chlamydia trachomatis
NC_021887,Chlamydia trachomatis
NC_021888,Chlamydia trachomatis
NC_021889,Chlamydia trachomatis
NC_021890,Chlamydia trachomatis
NC_021891,Chlamydia trachomatis
NC_021892,Chlamydia trachomatis
NC_021893,Chlamydia trachomatis
NC_021896,Chlamydia trachomatis
NC_021897,Chlamydia trachomatis
NC_021898,Chlamydia trachomatis
NC_021899,Chlamydia trachomatis
NC_021895,Chlamydia trachomatis
NC_017441,Chlamydia trachomatis
NC_022107,Chlamydia trachomatis
NC_022117,Chlamydia trachomatis
NC_022118,Chlamydia trachomatis
NC_022119,Chlamydia trachomatis
NC_022121,Chlamydia trachomatis
NC_020511,Chlamydia trachomatis
NC_020512,Chlamydia trachomatis
NC_023060,Chlamydia trachomatis
NC_000117,Chlamydia trachomatis
NC_010287,Chlamydia trachomatis
NC_007429,Chlamydia trachomatis
NC_004552,Chlamydophila abortus
NC_003361,Chlamydophila caviae
NC_007899,Chlamydophila felis
NC_011027,Chlorobaculum parvum
NC_002932,Chlorobaculum tepidum
NC_007514,Chlorobium chlorochromatii
NC_010803,Chlorobium limicola
NC_010831,Chlorobium phaeobacteroides
NC_008639,Chlorobium phaeobacteroides
NC_009337,Chlorobium phaeovibrioides
NC_011831,Chloroflexus aggregans
NC_010175,Chloroflexus aurantiacus
NC_012032,Chloroflexus sp. Y-400-fl
NC_011026,Chloroherpeton thalassium
NC_005085,Chromobacterium violaceum
NC_007963,Chromohalobacter salexigens
NC_019695,Chroococcidiopsis thermalis
NC_021487,Chthonomonas calidirosea
NC_009792,Citrobacter koseri
NC_013716,Citrobacter rodentium
NC_009480,Clavibacter michiganensis
NC_010407,Clavibacter michiganensis
NC_020891,Clavibacter michiganensis
NC_013895,Clostridiales genomosp. BVAB3
